Num2,Linear
380,6e-07
380,1.03e-06
380,1.1e-07
380,1e-06
380,3.4e-07
380,6.8e-07
380,7e-07
380,2.8e-07
380,1.5e-07
380,1.9e-07
390,1.01e-06
390,9.2e-07
390,4.1e-07
390,1.09e-06
390,4.8e-07
390,1.02e-06
390,6e-08
390,4e-08
390,1.06e-06
390,1.14e-06
400,8.9e-07
400,7e-07
400,8e-07
400,9.3e-07
400,1.9e-07
400,9.2e-07
400,1.17e-06
400,1.1e-06
400,5.8e-07
400,5.5e-07
410,9.2e-07
410,6.7e-07
410,7.5e-07
410,4.8e-07
410,9.9e-07
410,8.6e-07
410,4.5e-07
410,4.7e-07
410,8.7e-07
410,7.6e-07
420,1.01e-06
420,4e-08
420,1.12e-06
420,3e-08
420,4.6e-07
420,8.1e-07
420,1.13e-06
420,9.9e-07
420,2.6e-07
420,4.7e-07
430,8.6e-07
430,6.5e-07
430,7.4e-07
430,7.2e-07
430,8e-08
430,1.04e-06
430,7.8e-07
430,1.13e-06
430,4.8e-07
430,1.11e-06
440,1.11e-06
440,7.1e-07
440,6.4e-07
440,1.01e-06
440,1.1e-07
440,6e-08
440,7.4e-07
440,8.9e-07
440,7e-07
440,1.9e-07
450,1.27e-06
450,1.17e-06
450,1.13e-06
450,1.23e-06
450,1.8e-07
450,8.5e-07
450,5.7e-07
450,8.2e-07
450,9.8e-07
450,9.4e-07
460,5.8e-07
460,3.5e-07
460,1e-07
460,7.7e-07
460,1.08e-06
460,1.01e-06
460,1.22e-06
460,9.3e-07
460,1.28e-06
460,8.2e-07
470,8.6e-07
470,1.4e-07
470,8e-07
470,9.2e-07
470,1.07e-06
470,1.16e-06
470,1.07e-06
470,1.01e-06
470,2.5e-07
470,2.8e-07
480,8.4e-07
480,4.5e-07
480,1.27e-06
480,2.8e-07
480,1.28e-06
480,5.1e-07
480,1.7e-07
480,2.3e-07
480,9.5e-07
480,1.41e-06
490,1.14e-06
490,6e-08
490,1.16e-06
490,1.02e-06
490,1.44e-06
490,1.1e-07
490,2e-07
490,5.9e-07
490,7.7e-07
490,8.8e-07
500,8.6e-07
500,1.18e-06
500,8.6e-07
500,1.34e-06
500,8.8e-07
500,1.27e-06
500,1.6e-07
500,1.44e-06
500,7.3e-07
500,8.9e-07
510,9.3e-07
510,9.4e-07
510,3.1e-07
510,4.6e-07
510,1.42e-06
510,7e-07
510,3.6e-07
510,1.02e-06
510,4.5e-07
510,3.9e-07
520,4.6e-07
520,4.9e-07
520,3.1e-07
520,1.53e-06
520,1.43e-06
520,1.17e-06
520,5.3e-07
520,9.6e-07
520,7.2e-07
520,6e-07
530,4.5e-07
530,8.2e-07
530,2.7e-07
530,5e-08
530,5.7e-07
530,1.49e-06
530,8e-07
530,1.47e-06
530,3.5e-07
530,1.18e-06
540,5.9e-07
540,1.44e-06
540,9e-08
540,1.38e-06
540,1.05e-06
540,2.4e-07
540,1.42e-06
540,7e-08
540,2.1e-07
540,1.06e-06
550,3.7e-07
550,5e-08
550,1.06e-06
550,7.3e-07
550,8.4e-07
550,7.5e-07
550,6.9e-07
550,8.1e-07
550,1.21e-06
550,1.41e-06
560,4.5e-07
560,1.34e-06
560,1.16e-06
560,1.34e-06
560,8e-08
560,1.53e-06
560,8e-08
560,4.9e-07
560,2.4e-07
560,5.9e-07
570,6e-07
570,3.3e-07
570,3e-08
570,5.5e-07
570,1.5e-06
570,1.36e-06
570,8.1e-07
570,1.47e-06
570,4.3e-07
570,7.5e-07
580,9.7e-07
580,1.7e-06
580,4.4e-07
580,1.27e-06
580,3.6e-07
580,6e-08
580,8.1e-07
580,4.1e-07
580,1.27e-06
580,3.9e-07
590,1.1e-06
590,5.6e-07
590,1.51e-06
590,1.51e-06
590,7e-08
590,6.9e-07
590,8.5e-07
590,1.18e-06
590,7e-08
590,1.61e-06
600,1.03e-06
600,8.6e-07
600,3.5e-07
600,1.42e-06
600,3.6e-07
600,1.67e-06
600,1.75e-06
600,1.5e-06
600,1.5e-07
600,1.32e-06
610,1.221e-06
610,1.19e-06
610,1.6e-07
610,4.1e-07
610,1.5e-07
610,1.68e-06
610,4.2e-07
610,1.12e-06
610,7e-08
610,4.1e-07
620,9e-08
620,9.3e-07
620,1.55e-06
620,1.71e-06
620,1.41e-06
620,4.7e-07
620,5.4e-07
620,1.62e-06
620,6e-08
620,1.82e-06
630,1.4e-06
630,1.54e-06
630,3.5e-07
630,1.42e-06
630,1.81e-06
630,1.83e-06
630,1.78e-06
630,1.79e-06
630,1.64e-06
630,1.12e-06
640,1.71e-06
640,6.6e-07
640,6.1e-07
640,8.6e-07
640,7.6e-07
640,1.14e-06
640,1.84e-06
640,9e-08
640,1.68e-06
640,1.52e-06
650,6.5e-07
650,1.8e-07
650,1.34e-06
650,6.9e-07
650,1.36e-06
650,1.61e-06
650,1.151e-06
650,1.22e-06
650,1.4e-06
650,5e-08
660,1.94e-06
660,1.74e-06
660,7e-07
660,8.3e-07
660,1e-07
660,1.36e-06
660,5e-08
660,1.18e-06
660,1.66e-06
660,6.7e-07
670,6.6e-07
670,1.4e-07
670,1.29e-06
670,1.69e-06
670,1.22e-06
670,1.71e-06
670,1.13e-06
670,8.7e-07
670,9.6e-07
670,8.1e-07
680,4e-07
680,1.08e-06
680,1.68e-06
680,9.6e-07
680,8.8e-07
680,1.21e-06
680,1.76e-06
680,1.21e-06
680,1.78e-06
680,7.5e-07
690,1.99e-06
690,4.1e-07
690,1.731e-06
690,1.9e-06
690,1.34e-06
690,8e-07
690,1.77e-06
690,7.8e-07
690,8.11e-07
690,4e-08
700,1.89e-06
700,3e-08
700,6.1e-07
700,4.3e-07
700,1.11e-06
700,1.24e-06
700,1.1e-07
700,1.18e-06
700,1.17e-06
700,1.4e-07
710,1.98e-06
710,1.59e-06
710,2e-06
710,2.05e-06
710,1.84e-06
710,1.6e-06
710,4e-07
710,1.8e-06
710,2.5e-07
710,7.3e-07
720,1.79e-06
720,1.34e-06
720,9.8e-07
720,8.9e-07
720,2.4e-07
720,1.38e-06
720,1.8e-06
720,4.2e-07
720,1.22e-06
720,1.59e-06
730,1.69e-06
730,1.42e-06
730,8.5e-07
730,9e-07
730,7.3e-07
730,1.75e-06
730,2.04e-06
730,1.03e-06
730,1.91e-06
730,6.1e-07
740,8.3e-07
740,8.3e-07
740,1.04e-06
740,2.14e-06
740,1.26e-06
740,6.3e-07
740,1.38e-06
740,8.7e-07
740,2.04e-06
740,1.89e-06
750,1.87e-06
750,9.6e-07
750,1e-06
750,6.2e-07
750,2.04e-06
750,1.03e-06
750,1.99e-06
750,9.2e-07
750,8.4e-07
750,8.6e-07
760,3.2e-07
760,1.8e-07
760,9e-08
760,8.4e-07
760,1.12e-06
760,6.6e-07
760,1.8e-06
760,2.21e-06
760,4.8e-07
760,7.3e-07
770,1.76e-06
770,1.82e-06
770,2.14e-06
770,7.1e-07
770,1.96e-06
770,2.08e-06
770,1.56e-06
770,1.12e-06
770,1.81e-06
770,3.5e-07
780,7.6e-07
780,2.02e-06
780,1.8e-07
780,1.91e-06
780,2.14e-06
780,2.18e-06
780,2.02e-06
780,1.29e-06
780,9e-08
780,1.98e-06
790,1.92e-06
790,9.2e-07
790,2.11e-06
790,1.1e-07
790,1.78e-06
790,1.4e-07
790,6e-07
790,1.22e-06
790,4.3e-07
790,1.56e-06
800,2.4e-07
800,2.11e-06
800,2.7e-07
800,1.15e-06
800,7.9e-07
