Num,Ordenament bombolla
10,1.79e-06
10,1.39e-06
10,1.26e-06
10,1.59e-06
10,1.64e-06
10,1.41e-06
10,1.43e-06
10,1.42e-06
10,1.24e-06
10,1.36e-06
20,6.01e-06
20,5.28e-06
20,6.05e-06
20,7.05e-06
20,7.45e-06
20,8.01e-06
20,6.28e-06
20,5.8e-06
20,5.55e-06
20,5.71e-06
30,1.287e-05
30,1.202e-05
30,1.258e-05
30,1.204e-05
30,1.284e-05
30,1.185e-05
30,1.262e-05
30,1.251e-05
30,1.108e-05
30,1.162e-05
40,2.101e-05
40,2.217e-05
40,2.24e-05
40,2.201e-05
40,2.159e-05
40,2.077e-05
40,2.0239e-05
40,2.197e-05
40,2.262e-05
40,2.129e-05
50,3.4099e-05
50,3.168e-05
50,3.491e-05
50,4.4369e-05
50,3.35e-05
50,3.138e-05
50,3.343e-05
50,3.269e-05
50,3.305e-05
50,3.3789e-05
60,4.499e-05
60,5.6819e-05
60,4.661e-05
60,4.6859e-05
60,4.471e-05
60,4.692e-05
60,4.547e-05
60,4.483e-05
60,4.8629e-05
60,4.854e-05
70,6.1669e-05
70,6.721e-05
70,6.2899e-05
70,7.412e-05
70,6.236e-05
70,6.6259e-05
70,6.318e-05
70,6.3759e-05
70,6.144e-05
70,6.3299e-05
80,8.466e-05
80,8.342e-05
80,8.8429e-05
80,8.1869e-05
80,8.051e-05
80,8.4699e-05
80,8.3419e-05
80,8.096e-05
80,7.94e-05
80,7.9319e-05
90,0.000103419
90,0.00010666
90,0.00010019
90,0.000105779
90,0.000102629
90,0.000104389
90,0.000112699
90,0.00010419
90,0.00010383
90,0.00010203
100,0.000127529
100,0.000126619
100,0.000130119
100,0.000129709
100,0.000131639
100,0.000131069
100,0.000128839
100,0.000125779
100,0.000127209
100,0.000125219
110,0.00015246
110,0.000156309
110,0.000150579
110,0.000153719
110,0.000148339
110,0.000147279
110,0.000150079
110,0.000151859
110,0.000151639
110,0.000201589
120,0.000184789
120,8.5749e-05
120,8.875e-05
120,8.508e-05
120,8.6459e-05
120,8.9409e-05
120,8.719e-05
120,0.00011908
120,0.000114009
120,8.6149e-05
130,0.000104849
130,0.000100699
130,0.00010292
